classical, classical_games, classical_rd, rapid, rapid_games, rapid_rd, blitz, blitz_games, blitz_rd, league_games
1775,51,112,1540,80,190,1248,164,177,13
1999,542,81,2065,648,63,1758,1152,62,56
2292,18,209,2292,54,214,2306,377,105,12
2282,66,93,2186,38,154,2157,1105,65,16
1688,155,162,1733,426,102,1520,1464,45,13
1739,63,130,1955,239,147,1879,401,117,21
1660,5,259,1660,13,233,1500,0,500,1
1637,57,140,1659,17,103,1542,32,99,8
1692,107,207,1720,219,75,1422,494,85,6
1981,82,170,1971,63,179,1628,206,170,43
1854,29,157,2235,312,70,2146,1575,53,14
1670,232,149,1719,254,93,1580,2298,52,22
2061,15,204,2061,602,205,1641,3112,198,8
1601,69,176,1590,1717,139,1290,799,126,6
1511,58,210,1511,4,412,1244,63,213,8
2061,299,78,2167,4950,68,2056,16299,45,7
1653,88,185,1678,1596,75,1454,452,80,1
2378,483,109,2468,746,168,2533,-18647,45,18
1903,50,121,1788,76,146,1386,367,191,17
2229,31,202,2229,17,206,2056,2899,163,16
2019,239,116,2073,852,53,1957,3561,45,7
1850,99,116,1655,3,219,1627,417,101,25
1893,246,99,1999,2905,63,1972,4522,46,1
1469,104,207,1469,83,211,1177,88,207,2
2037,103,157,1848,1666,99,1994,6436,45,9
1788,269,114,1737,318,88,1147,7,195,77
1704,303,121,1595,90,155,1428,5,252,23
1571,89,198,1696,503,135,1591,768,126,1
1675,66,208,1675,13,224,1326,43,184,10
1970,68,81,1876,49,87,1665,678,74,35
1675,50,142,1864,141,100,1729,1225,80,2
2102,85,98,2134,57,169,1996,16,217,40
2001,43,205,2001,549,209,1860,1804,124,9
1754,159,133,1679,367,128,1681,1832,62,22
1957,4,401,1957,23,206,2362,11675,45,5
2096,12,182,1916,108,83,1633,432,84,1
1851,515,140,1920,137,142,1632,1647,124,2
1930,84,167,2102,252,130,2140,4436,45,51
1693,98,126,1600,64,189,1606,1053,80,91
2194,266,129,2187,921,126,2201,2222,113,29
2207,36,173,2292,206,141,2401,11267,45,28
2202,201,80,2195,2441,48,1876,1055,53,15
2176,83,103,2206,1191,87,2198,2939,73,18
1836,341,119,1668,977,121,1480,1716,112,117
2306,28,196,2553,483,63,2504,2031,69,7
2091,77,136,2313,398,46,2211,6703,51,51
1847,548,79,1896,942,109,2005,11809,53,120
1970,85,72,2179,724,45,1991,-31233,45,8
1427,21,202,1427,14,209,1342,14,102,5
1689,309,108,1813,43,92,1604,3210,66,8
1676,38,162,1671,583,149,1546,3990,140,6
1950,162,148,2172,3389,71,2127,10204,45,53
1729,66,111,1698,68,120,1591,691,93,30
2130,539,73,2038,242,96,2081,5158,57,134
2141,249,73,2281,150,60,2116,6865,49,47
1902,11,202,1973,105,117,1958,2519,52,6
1355,73,174,1256,4,308,1500,0,500,8
1657,549,52,1823,934,61,1797,8976,45,3
1971,21,151,2284,177,64,2329,1536,45,15
1928,22,186,1943,81,204,1622,1034,155,5
2207,634,62,2233,1240,49,1903,1104,61,2
1962,40,138,1832,30,149,2072,6027,45,21
1818,98,151,1759,3029,143,1756,3242,115,1
1301,16,192,1195,35,190,1129,62,80,16
1454,4,399,1455,96,186,1480,560,65,1
2153,26,164,2075,239,145,1927,1033,131,12
2415,103,154,2464,232,113,2505,7124,46,45
1967,127,150,1992,269,86,1827,2728,85,38
1485,25,200,1754,369,96,1715,1824,73,6
2319,5,247,2319,129,206,2124,375,203,1
2066,216,82,2212,2199,61,2129,24897,45,7
1745,21,211,1745,9,252,1500,0,500,1
2241,53,173,2234,770,144,2126,1352,133,7
2004,3,302,1826,131,153,1773,2612,128,1
1745,952,55,1592,48,76,1500,0,500,76
1489,69,126,1552,836,84,1378,1624,46,15
1976,63,153,2122,238,80,1909,1762,46,8
2108,445,103,1912,737,180,1873,2473,80,15
2031,3,398,2021,77,159,2084,6264,45,1
2382,261,87,2475,3027,45,2454,12684,45,58
1533,53,171,1632,269,125,1389,1012,120,16
1902,213,140,1841,388,109,1826,1508,75,1
1965,13,194,1966,68,181,2058,1855,78,9
2151,396,54,2278,623,45,2091,2441,47,24
1599,42,165,1682,92,175,1499,112,173,20
2055,45,171,2121,53,135,2064,382,71,14
2091,10,196,2091,151,193,2050,71,197,3
1776,357,132,1681,323,94,1362,1310,45,5
1868,400,75,1974,917,45,1576,1036,48,138
1824,1,397,1664,108,154,1665,632,150,3
1973,32,174,2102,76,182,2113,1524,155,4
2030,2,307,2103,67,184,2059,1442,139,2
1566,109,160,1764,230,85,1656,890,56,8
1906,237,66,2106,1679,45,1774,2365,48,25
1815,20,201,1792,45,188,1709,531,121,8
1837,50,136,2020,494,72,1727,2135,114,14
1450,125,188,1461,519,170,1137,70,198,8
1529,206,170,1815,347,60,1634,1932,62,24
1851,20,199,1715,25,198,1547,643,190,8
1596,118,83,1585,73,136,1060,276,102,32
1729,5,239,1855,102,83,1729,5629,45,4
1785,162,177,1793,972,56,1558,986,53,3
1876,85,181,1973,76,181,1850,2924,177,7
1256,62,188,1247,450,121,1179,1019,143,2
1787,51,171,1930,226,133,1757,1646,53,37
1688,28,195,1688,15,196,1663,141,194,1
1939,244,91,2046,645,57,1723,3649,45,27
2016,31,143,2205,511,100,2120,8226,52,1
1459,6,274,1546,19,202,1500,0,500,1
1920,155,117,1734,254,118,1793,232,102,34
2134,550,77,2373,1351,55,2301,6335,45,148
1923,70,186,2093,47,141,2056,220,115,15
1914,482,129,1783,598,151,1827,2962,120,1
1594,12,196,1689,39,139,1632,65,80,7
2275,155,96,2482,338,67,2447,4272,50,108
2356,20,149,2356,745,46,2248,11576,45,1
2131,90,127,2328,219,87,2232,735,54,8
1594,11,209,1601,412,195,1169,343,157,1
1863,131,156,1768,12,193,1535,1,387,25
1720,38,178,1823,357,124,1839,1036,114,5
1907,107,98,1928,175,75,1739,1699,70,9
2209,110,109,2116,77,121,2381,4188,60,69
1868,70,162,2011,22,123,2005,2251,87,18
1705,23,194,2048,821,71,1852,5943,45,16
2178,184,113,1774,281,191,2045,7078,45,9
1783,20,193,1793,19,205,1549,81,204,5
1897,111,177,1897,4,398,1688,2805,175,19
1657,285,163,1606,1089,161,1500,0,500,27
1762,923,140,1639,2438,136,1724,15477,137,8
1551,77,151,1369,97,121,1253,560,80,14
1887,266,113,1888,170,86,1451,507,47,65
1807,1002,57,1916,712,91,1759,2270,58,147
2071,7,209,2301,736,69,2189,2410,46,6
1842,30,135,1978,129,92,1749,625,53,13
1932,107,181,1814,1441,173,1762,858,173,16
1917,8,192,1911,254,120,1860,1614,48,6
1802,226,101,1905,226,105,1899,2042,80,20
2006,13,147,2043,43,170,2000,1173,103,4
2260,28,135,2503,71,124,2558,11025,45,8
1646,56,162,1646,121,164,1021,811,63,1
2057,32,191,1982,162,189,1821,1350,187,3
2036,32,174,1929,33,199,1875,91,118,9
